Team,2025 Offensive Coordinator,2024 Offensive Coordinator ,2023 Offensive Coordinator ,2022 Offesnsive Coordinator
Arizona Cardinals,Drew Petzing,Drew Petzing,Drew Petzing,Kliff Kingsbury
Atlanta Falcons,Zac Robinson,Zac Robinson,Dave Ragone,Dave Ragone
Baltimore Ravens,Todd Monken,Todd Monken,Todd Monken,Greg Roman
Buffalo Bills,Joe Brady,Joe Brady,Ken Dorsey,Ken Dorsey
Carolina Panthers,Brad Idzik,Brad Idzik,Thomas Brown,Ben McAdoo
Chicago Bears,Declan Doyle,Shane Waldron,Luke Getsy,Luke Getsy
Cincinnati Bengals,Dan Pitcher,Dan Pitcher,Brian Callahan,Brian Callahan
Cleveland Browns,Tommy Rees,Ken Dorsey,Alex Van Pelt,Alex Van Pelt
Dallas Cowboys,Klayton Adams,Brian Schottenheimer,Brian Schottenheimer,Kellen Moore
Denver Broncos,Joe Lombardi,Joe Lombardi,Joe Lombardi,Justin Outten
Detroit Lions,John Morton,Ben Johnson,Ben Johnson,Ben Johnson
Green Bay Packers,Adam Stenavich,Adam Stenavich,Adam Stenavich,Adam Stenavich
Houston Texans,Nick Caley,Bobby Slowik,Bobby Slowik,Pep Hamilton
Indianapolis Colts,Jim Bob Cooter,Jim Bob Cooter,Jim Bob Cooter,Marcus Brady
Jacksonville Jaguars,Grant Udinski,Press Taylor,Press Taylor,Press Taylor
Kansas City Chiefs,Matt Nagy,Matt Nagy,Matt Nagy,Eric Bieniemy
Las Vegas Raiders,Chip Kelly,Scott Turner,Mick Lombardi,Mick Lombardi
Los Angeles Chargers,Greg Roman,Greg Roman,Kellen Moore,Joe Lombardi
Los Angeles Rams,Mike LaFleur,Mike LaFleur,Mike LaFleur,Liam Coen
Miami Dolphins,Frank Smith,Frank Smith,Frank Smith,Frank Smith
Minnesota Vikings,Wes Phillips,Wes Phillips,Wes Phillips,Wes Phillips
New England Patriots,Josh McDaniels,Alex Van Pelt,Bill O'Brien,Matt Patricia
New Orleans Saints,Doug Nussmeier,Klint Kubiak,Pete Carmichael,Pete Carmichael
New York Giants,Mike Kafka,Mike Kafka,Mike Kafka,Mike Kafka
New York Jets,Tanner Engstrand,Nathaniel Hackett,Nathaniel Hackett,Mike LaFleur
Philadelphia Eagles,Kevin Patullo,Kellen Moore,Brian Johnson,Shane Steichen
Pittsburgh Steelers,Arthur Smith,Arthur Smith,Eddie Faulkner,Matt Canada
San Francisco 49ers,Klay Kubiak,Kyle Shanahan,Kyle Shanahan,Mike McDaniel
Seattle Seahawks,Klint Kubiak,Ryan Grubb,Shane Waldron,Shane Waldron
Tampa Bay Buccaneers,Josh Grizzard,Liam Coen,Dave Canales,Byron Leftwich
Tennessee Titans,Nick Holz,Nick Holz,Tim Kelly,Todd Downing
Washington Commanders,Eric Bieniemy,Kliff Kingsbury,Kliff Kingsbury,Scott Turner
